,brand,price,ratings
0,"                   Lenovo IdeaPad 3 Laptop 17.3 Inch 1920x1080 Full HD IPS Matte Slim Notebook (Intel Core i5 Processor 1035G1, 8GB RAM, 512GB SSD, NVIDIA GeForce MX330, Windows 10 Home) Silver",                   €799.00,                 4.6 out of 5 stars
1,"                   Lenovo IdeaPad 5 Laptop, Slim Notebook",                   €829.00,                 4.6 out of 5 stars
2,"                   HP Pavilion Gaming Laptop, 17.3-inch Screen, FHD IPS 60 Hz, Black","                   €1,299.00",                 4.6 out of 5 stars
3,"                   HP OMEN 15-en0263ng (15.6 Inch/FHD IPS 144Hz) Gaming Laptop (AMD Ryzen 7 4800H, 16GB DDR4 RAM, 512GB SSD, Nvidia GeForce GTX 1660Ti 6GB) Windows 10 Home, Black","                   €1,247.31",                 4.6 out of 5 stars
4,"                   Acer Aspire 3 A315-56-38QL, 15.6 Inch Full HD Matte, Multimedia Laptop",                   €669.00,                 Not rated yet
5,                   Acer Aspire 5 (A515-54G-75EF) 39.6 cm (15.6 Inches Full HD IPS Matte) Multimedia Laptop,                   €728.17,                 4.7 out of 5 stars
